NEGATIVE CLASS
kills 5.5615967728860545
iraq 5.357684583499733
wins 4.878111503237847
afghanistan 4.878111503237847
leader 4.848841120937733
wikinews 4.67637186058679
announces 4.640439851360727
zealand 4.590429430786066
nuclear 4.577526025950157
iraqi 4.551208717632784

POSITIVE CLASS
2015 -5.698524583351537
things -5.689197400476399
these -5.238550069575001
tweets -5.018552823950157
you -5.005859562878078
guess -4.970286082980322
hilarious -4.7634916696676415
actually -4.7589769893131155
ve -4.618309659823144
instagram -4.570300440636783



