vocsize,accuracy_train,accuracy_validation
100,77.7,76.38
200,83.01,82.0
400,88.4,87.7
800,92.03,90.65
1000,92.95,91.52
2000,95.72,93.18
4000,97.76,93.92
8000,98.93,94.5
