vocsize,accuracy_train,accuracy_validation
100,89.57,89.55
200,91.6,91.2
400,93.24,93.25
800,94.72,94.65
1000,95.2,94.92
2000,96.3,96.15
4000,97.22,96.6
8000,97.88,96.95
