vocsize,accuracy_train,accuracy_validation
100,78.82,77.92
200,83.91,83.4
400,87.81,87.02
800,91.08,90.48
1000,91.92,91.12
2000,94.14,93.35
4000,95.84,94.38
8000,96.84,95.22
