vocsize,bias_neg,bias_pos,fpr,tpr,acc
100,5.0,-5.0,0.0,0.0375,51.88
200,5.0,-5.0,0.0,0.0715,53.58
400,5.0,-5.0,0.0,0.1315,56.58
800,5.0,-5.0,0.0005,0.1995,59.95
1000,5.0,-5.0,0.0005,0.2185,60.9
2000,5.0,-5.0,0.0005,0.293,64.62
4000,5.0,-5.0,0.0005,0.351,67.53
8000,5.0,-5.0,0.0005,0.388,69.38
