vocsize,bias,fpr,tpr,acc
100,-8.0,0.0025,0.3205,65.9
200,-8.0,0.0025,0.3325,66.5
400,-8.0,0.0015,0.2695,63.4
800,-8.0,0.001,0.3005,64.98
1000,-8.0,0.001,0.313,65.6
2000,-8.0,0.001,0.323,66.1
4000,-8.0,0.0005,0.3165,65.8
8000,-8.0,0.0005,0.3165,65.8
